2023-12-09T22:05:51.711Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:05:52.834Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:05:55.631Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:05.719Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:08.184Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:11.144Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:16.727Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:19.778Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:22.262Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:28.895Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:29.990Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:42.868Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:49.806Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:51.095Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:06:53.761Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:07:11.007Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:07:18.103Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:07:26.805Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:07:30.029Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:07:40.932Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:08:31.392Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:12:23.809Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:12:26.969Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:12:56.996Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:13:16.686Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:13:22.927Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:16:24.591Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:16:28.047Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:16:32.764Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:17:15.852Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:17:21.192Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:17:22.756Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:18:02.883Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:18:08.838Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:18:10.506Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:18:13.188Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:18:25.386Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:18:35.502Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:18:39.178Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:18:45.767Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:18:54.574Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:19:00.995Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:19:04.770Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:19:08.152Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:19:15.747Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:19:33.149Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:20:17.424Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:20:18.611Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:20:50.494Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:03.371Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:04.491Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:05.902Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:12.577Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:16.099Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:19.541Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:20.842Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:22.719Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:25.285Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:27.966Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:30.119Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:54.114Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:58.257Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:21:59.300Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:22:23.342Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:22:25.166Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:22:34.835Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:22:44.464Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:22:46.185Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:22:47.633Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:22:57.170Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:22:58.985Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:23:01.282Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:23:39.175Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:23:42.113Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:24:14.784Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:24:15.999Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:24:18.464Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:24:23.694Z [debug] [main] Not starting CMake driver: no kit selected
